id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2417443337.0,38.0,3.0,5.0,296.0,55.230000000000004,62.424,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Zone', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,283978.0,55.650000000000006,49.64,,,,,,,,,,2.0,Matheus Reis,False,Portimonense,Sporting
2417443363.0,39.0,3.0,7.0,296.0,55.650000000000006,49.64,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,322774.0,45.885000000000005,40.596000000000004,,,,,,,,,,6.0,João Palhinha,False,Portimonense,Sporting
,,3.0,7.0,,45.885000000000005,40.596000000000004,,,Carry,,,,,71268.0,45.464999999999996,36.720000000000006,,,,,,,,,,4.0,Sebastián Coates,False,Portimonense,Sporting
2417443405.0,40.0,3.0,9.0,296.0,45.464999999999996,36.720000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Angle', 'Longball', 'PassEndY', 'Length']","[91, 119, 117, 127, 36, 38, 216, 218]",True,71268.0,67.935,1.904,,,,,,,,,,4.0,Sebastián Coates,False,Portimonense,Sporting
,,3.0,9.0,,67.935,1.904,,,Carry,,,,,362352.0,64.78500000000001,2.584,,,,,,,,,,24.0,Pedro Porro,False,Portimonense,Sporting
2417443411.0,41.0,3.0,12.0,296.0,64.78500000000001,2.584,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave']","[91, 120, 29, 36, 37, 216, 218]",True,362352.0,64.89,6.324000000000001,,,,,,,,,,24.0,Pedro Porro,False,Portimonense,Sporting
2418571663.0,599.0,3.0,12.0,1463.0,33.705000000000005,63.85200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,381687.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417443423.0,23.0,3.0,13.0,1463.0,29.400000000000002,59.50000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,108374.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417443477.0,24.0,3.0,13.0,1463.0,29.400000000000002,59.50000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,108374.0,48.195,64.464,,,,,,,,,,,,False,Portimonense,Sporting
2417443481.0,25.0,3.0,17.0,1463.0,57.96000000000001,65.41600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,345275.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417443509.0,26.0,3.0,20.0,1463.0,67.62,59.024,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[91, 70]",True,108374.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417443495.0,42.0,3.0,21.0,296.0,37.38,8.976,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'StandingSave', 'Defensive']","[91, 142]",True,322774.0,,,,,,,,,,,,6.0,João Palhinha,,Portimonense,Sporting
2417443515.0,27.0,3.0,22.0,1463.0,67.83,58.684000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[91, 70]",True,108374.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417443529.0,43.0,3.0,22.0,296.0,37.17,9.316,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'OppositeRelatedEvent', 'StandingSave', 'Defensive']","[91, 143]",True,279177.0,,,,,,,,,,,,23.0,Marcus Edwards,,Portimonense,Sporting
2417443531.0,44.0,3.0,23.0,296.0,26.040000000000003,19.244000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395992.0,,,,,,,,,,,,25.0,Gonçalo Inácio,,Portimonense,Sporting
,,3.0,23.0,,26.040000000000003,19.244000000000003,,,Carry,,,,,395992.0,24.885,20.672,,,,,,,,,,25.0,Gonçalo Inácio,False,Portimonense,Sporting
