shirtNo,team,minutes,prog_passes,prog_carries,defensive_actions,suc_take_ons,total_passes,suc_passes,take_ons,xt,final_third_entries,final_third_passes,penalty_box_entries,penalty_box_passes,key_passes,Goals,Assists,Shots,xG,xGOT,xA,ChancesCreated,name,playerId,fotmob_name,fotmob_player_id
8.0,Boavista,338.0,7.0,8.0,14.0,7.0,115.0,85.0,14.0,0.0837765799999997,3.0,7.0,0.0,2.0,0.0,2.0,0.0,5.0,1.5699999999999998,1.58,0.3399999999999999,5.0,Bruno Lourenço,374830.0,Bruno Lourenco,1052464.0
8.0,Braga,464.0,32.0,8.0,80.0,1.0,279.0,234.0,2.0,0.8532978099999998,3.0,36.0,0.0,3.0,1.0,1.0,0.0,1.0,0.2099999999999999,0.36,0.41,4.0,Al Musrati,381792.0,Al Musrati,649945.0
8.0,Casa-Pia,384.0,19.0,6.0,60.0,5.0,188.0,153.0,6.0,0.55520619,3.0,16.0,0.0,4.0,0.0,1.0,0.0,1.0,0.32,0.97,0.18,2.0,Ângelo Neto,322631.0,Angelo Neto,304615.0
8.0,Chaves,446.0,24.0,23.0,34.0,8.0,163.0,131.0,15.0,0.7429154499999998,8.0,24.0,2.0,5.0,3.0,0.0,0.0,2.0,0.65,0.31,0.3899999999999999,4.0,João Mendes,362386.0,Joao Mendes,874318.0
8.0,Estoril,18.0,3.0,4.0,2.0,0.0,13.0,8.0,0.0,0.0929367999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.01,0.0,Serginho,444632.0,Sergio Andrade,1393478.0
8.0,Famalicao,141.0,3.0,6.0,20.0,0.0,76.0,62.0,1.0,0.1356675199999999,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.22,0.04,1.0,Andre Simoes,57579.0,Andre Simoes,97509.0
8.0,Gil-Vicente,141.0,3.0,3.0,17.0,0.0,62.0,42.0,0.0,0.0450509199999999,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,0.0,0.02,0.0,Giorgi Aburjania,144360.0,Giorgi Aburjania,463963.0
8.0,Maritimo,124.0,4.0,2.0,13.0,2.0,49.0,39.0,2.0,0.2882750999999998,3.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.01,0.0,0.21,2.0,Joel Soñora,280951.0,Joel Sonora,643612.0
8.0,Pacos-de-Ferreira,149.0,3.0,6.0,20.0,3.0,75.0,69.0,3.0,0.0365973899999996,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,1.0,Abbas Ibrahim,401257.0,Abbas Ibrahim,1079264.0
8.0,Portimonense,292.0,6.0,6.0,35.0,1.0,118.0,92.0,4.0,0.1925498699999999,3.0,10.0,0.0,2.0,0.0,1.0,1.0,2.0,0.7899999999999999,0.83,0.1,2.0,Ewerton,342697.0, Ewerton,331762.0
8.0,Porto,562.0,47.0,16.0,99.0,0.0,401.0,343.0,2.0,1.5708424899999998,8.0,49.0,1.0,11.0,2.0,1.0,0.0,3.0,1.59,0.99,0.4499999999999999,8.0,Mateus Uribe,114301.0,Mateus Uribe,320618.0
